Hora_Anual,DNI_W_m2,H2_kg
477,0.0,0.0
478,0.0,0.0
479,0.0,0.0
480,0.0,0.0
481,0.0,0.0
482,0.0,0.0
483,0.0,0.0
484,0.0,0.0
485,0.0,0.0
486,0.0,0.0
487,0.0,0.0
488,259.59,0.4286
489,542.87,0.4286
490,779.71,0.4286
491,949.84,0.4286
492,1038.71,0.4286
493,1038.71,0.4286
494,949.84,0.4286
495,779.71,0.4286
496,542.87,0.4286
497,259.59,0.4286
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
501,0.0,0.0
502,0.0,0.0
503,0.0,0.0
504,0.0,0.0
505,0.0,0.0
506,0.0,0.0
507,0.0,0.0
508,0.0,0.0
509,0.0,0.0
510,0.0,0.0
511,0.0,0.0
512,248.17,0.4286
513,516.8,0.4286
514,741.33,0.4286
515,902.58,0.4286
516,986.8,0.4286
517,986.8,0.4286
518,902.58,0.4286
519,741.33,0.4286
520,516.8,0.4286
521,248.17,0.4286
522,0.0,0.0
523,0.0,0.0
524,0.0,0.0
525,0.0,0.0
526,0.0,0.0
527,0.0,0.0
528,0.0,0.0
529,0.0,0.0
530,0.0,0.0
531,0.0,0.0
532,0.0,0.0
533,0.0,0.0
534,0.0,0.0
535,0.0,0.0
536,262.93,0.4286
537,545.17,0.4286
538,780.99,0.4286
539,950.33,0.4286
540,1038.77,0.4286
541,1038.77,0.4286
542,950.33,0.4286
543,780.99,0.4286
544,545.17,0.4286
545,262.93,0.4286
546,0.0,0.0
547,0.0,0.0
548,0.0,0.0
549,0.0,0.0
550,0.0,0.0
551,0.0,0.0
552,0.0,0.0
553,0.0,0.0
554,0.0,0.0
555,0.0,0.0
556,0.0,0.0
557,0.0,0.0
558,0.0,0.0
559,0.0,0.0
560,264.66,0.4286
561,546.35,0.4286
562,781.66,0.4286
563,950.59,0.4286
564,1038.8,0.4286
565,1038.8,0.4286
566,950.59,0.4286
567,781.66,0.4286
568,546.35,0.4286
569,264.66,0.4286
570,0.0,0.0
571,0.0,0.0
572,0.0,0.0
573,0.0,0.0
574,0.0,0.0
575,0.0,0.0
576,0.0,0.0
577,0.0,0.0
578,0.0,0.0
579,0.0,0.0
580,0.0,0.0
581,0.0,0.0
582,0.0,0.0
583,0.0,0.0
584,266.43,0.4286
585,547.57,0.4286
586,782.34,0.4286
587,950.84,0.4286
588,1038.82,0.4286
589,1038.82,0.4286
590,950.84,0.4286
591,782.34,0.4286
592,547.57,0.4286
593,266.43,0.4286
594,0.0,0.0
595,0.0,0.0
596,0.0,0.0
597,0.0,0.0
598,0.0,0.0
599,0.0,0.0
600,0.0,0.0
601,0.0,0.0
602,0.0,0.0
603,0.0,0.0
604,0.0,0.0
605,0.0,0.0
606,0.0,0.0
607,0.0,0.0
608,268.24,0.4286
609,548.81,0.4286
610,783.03,0.4286
611,951.11,0.4286
612,1038.86,0.4286
613,1038.86,0.4286
614,951.11,0.4286
615,783.03,0.4286
616,548.81,0.4286
617,268.24,0.4286
618,0.0,0.0
619,0.0,0.0
620,0.0,0.0
621,0.0,0.0
622,0.0,0.0
623,0.0,0.0
624,0.0,0.0
625,0.0,0.0
626,0.0,0.0
627,0.0,0.0
628,0.0,0.0
629,0.0,0.0
630,0.0,0.0
631,0.0,0.0
632,270.09,0.4286
633,550.08,0.4286
634,783.74,0.4286
635,951.38,0.4286
636,1038.89,0.4286
637,1038.89,0.4286
638,951.38,0.4286
639,783.74,0.4286
640,550.08,0.4286
641,270.09,0.4286
642,0.0,0.0
643,0.0,0.0
644,0.0,0.0
645,0.0,0.0
646,0.0,0.0
647,0.0,0.0
648,0.0,0.0
649,0.0,0.0
650,0.0,0.0
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,0.0,0.0
655,0.0,0.0
656,271.99,0.4286
657,551.38,0.4286
658,784.46,0.4286
659,951.66,0.4286
660,1038.92,0.4286
661,1038.92,0.4286
662,951.66,0.4286
663,784.46,0.4286
664,551.38,0.4286
665,271.99,0.4286
666,0.0,0.0
667,0.0,0.0
668,0.0,0.0
669,0.0,0.0
670,0.0,0.0
671,0.0,0.0
672,0.0,0.0
673,0.0,0.0
674,0.0,0.0
675,0.0,0.0
676,0.0,0.0
677,0.0,0.0
678,0.0,0.0
679,0.0,0.0
680,260.22,0.4286
681,525.07,0.4286
682,745.94,0.4286
683,904.34,0.4286
684,987.0,0.4286
685,987.0,0.4286
686,904.34,0.4286
687,745.94,0.4286
688,525.07,0.4286
689,260.22,0.4286
690,0.0,0.0
691,0.0,0.0
692,0.0,0.0
693,0.0,0.0
694,0.0,0.0
695,0.0,0.0
696,0.0,0.0
697,0.0,0.0
698,0.0,0.0
699,0.0,0.0
700,0.0,0.0
701,0.0,0.0
702,0.0,0.0
703,0.0,0.0
704,275.88,0.4286
705,554.04,0.4286
706,785.95,0.4286
707,952.22,0.4286
708,1038.98,0.4286
709,1038.98,0.4286
710,952.22,0.4286
711,785.95,0.4286
712,554.04,0.4286
713,275.88,0.4286
714,0.0,0.0
715,0.0,0.0
716,0.0,0.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,0.0,0.0
